Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_17_27,VGND,li1,18.6300,59.8400,0.000040
FILLER_17_18,VGND,li1,14.2600,59.8400,0.000040
FILLER_17_15,VGND,li1,13.1100,59.8400,0.000040
FILLER_17_12,VGND,li1,11.7300,59.8400,0.000040
FILLER_17_9,VGND,li1,10.3500,59.8400,0.000040
FILLER_17_6,VGND,li1,8.9700,59.8400,0.000040
FILLER_17_3,VGND,li1,7.5900,59.8400,0.000040
FILLER_16_133,VGND,li1,66.9300,54.4000,0.000040
FILLER_16_130,VGND,li1,66.0100,54.4000,0.000040
FILLER_16_127,VGND,li1,64.6300,54.4000,0.000040
FILLER_16_124,VGND,li1,63.2500,54.4000,0.000040
FILLER_16_121,VGND,li1,61.8700,54.4000,0.000040
FILLER_16_118,VGND,li1,60.4900,54.4000,0.000040
FILLER_16_115,VGND,li1,59.1100,54.4000,0.000040
FILLER_16_112,VGND,li1,57.7300,54.4000,0.000040
FILLER_16_109,VGND,li1,56.3500,54.4000,0.000040
FILLER_16_106,VGND,li1,54.9700,54.4000,0.000040
FILLER_16_103,VGND,li1,53.5900,54.4000,0.000040
FILLER_16_83,VGND,li1,43.9300,54.4000,0.000035
FILLER_16_80,VGND,li1,43.0100,54.4000,0.000035
FILLER_16_77,VGND,li1,41.6300,54.4000,0.000033
FILLER_16_74,VGND,li1,40.2500,54.4000,0.000031
FILLER_16_71,VGND,li1,38.8700,54.4000,0.000031
FILLER_16_68,VGND,li1,37.4900,54.4000,0.000029
FILLER_16_65,VGND,li1,36.1100,54.4000,0.000029
FILLER_16_62,VGND,li1,34.7300,54.4000,0.000026
FILLER_16_59,VGND,li1,33.3500,54.4000,0.000026
FILLER_16_56,VGND,li1,31.9700,54.4000,0.000025
FILLER_16_53,VGND,li1,30.5900,54.4000,0.000023
FILLER_16_50,VGND,li1,29.2100,54.4000,0.000023
FILLER_16_47,VGND,li1,27.8300,54.4000,0.000020
FILLER_16_44,VGND,li1,26.4500,54.4000,0.000020
FILLER_16_35,VGND,li1,22.3100,54.4000,0.000019
FILLER_16_32,VGND,li1,20.9300,54.4000,0.000020
FILLER_16_29,VGND,li1,19.5500,54.4000,0.000020
FILLER_16_27,VGND,li1,18.1700,54.4000,0.000021
FILLER_16_24,VGND,li1,17.2500,54.4000,0.000021
FILLER_16_15,VGND,li1,12.8800,54.4000,0.000022
FILLER_16_12,VGND,li1,11.7300,54.4000,0.000022
FILLER_16_9,VGND,li1,10.3500,54.4000,0.000022
FILLER_16_6,VGND,li1,8.9700,54.4000,0.000022
FILLER_16_3,VGND,li1,7.5900,54.4000,0.000022
FILLER_15_131,VGND,li1,66.4700,54.4000,0.000040
FILLER_15_128,VGND,li1,65.0900,54.4000,0.000040
FILLER_15_125,VGND,li1,63.7100,54.4000,0.000040
FILLER_15_122,VGND,li1,62.3300,54.4000,0.000040
FILLER_15_119,VGND,li1,60.9500,54.4000,0.000040
FILLER_15_116,VGND,li1,59.5700,54.4000,0.000040
FILLER_15_113,VGND,li1,58.1900,54.4000,0.000040
FILLER_15_111,VGND,li1,56.8100,54.4000,0.000040
FILLER_15_93,VGND,li1,48.5300,54.4000,0.000039
FILLER_15_90,VGND,li1,47.6100,54.4000,0.000039
FILLER_15_87,VGND,li1,46.2300,54.4000,0.000037
FILLER_15_84,VGND,li1,44.8500,54.4000,0.000037
FILLER_15_81,VGND,li1,43.4700,54.4000,0.000035
FILLER_15_78,VGND,li1,42.0900,54.4000,0.000033
FILLER_15_75,VGND,li1,40.7100,54.4000,0.000033
FILLER_15_60,VGND,li1,33.5800,54.4000,0.000026
FILLER_15_57,VGND,li1,32.4300,54.4000,0.000025
FILLER_15_54,VGND,li1,30.8200,54.4000,0.000023
FILLER_15_51,VGND,li1,29.6700,54.4000,0.000023
FILLER_15_32,VGND,li1,20.7000,54.4000,0.000020
FILLER_15_29,VGND,li1,19.5500,54.4000,0.000020
FILLER_15_26,VGND,li1,18.1700,54.4000,0.000021
FILLER_15_6,VGND,li1,8.9700,54.4000,0.000022
FILLER_15_3,VGND,li1,7.5900,54.4000,0.000022
FILLER_14_133,VGND,li1,66.9300,48.9600,0.000031
FILLER_14_130,VGND,li1,66.0100,48.9600,0.000031
FILLER_14_107,VGND,li1,55.4300,48.9600,0.000029
FILLER_14_104,VGND,li1,54.0500,48.9600,0.000029
FILLER_14_101,VGND,li1,52.6700,48.9600,0.000028
FILLER_14_91,VGND,li1,47.8400,48.9600,0.000027
FILLER_14_88,VGND,li1,46.6900,48.9600,0.000027
FILLER_14_85,VGND,li1,45.3100,48.9600,0.000026
FILLER_14_83,VGND,li1,43.9300,48.9600,0.000026
FILLER_14_68,VGND,li1,37.2600,48.9600,0.000022
FILLER_14_43,VGND,li1,25.7600,48.9600,0.000014
FILLER_14_32,VGND,li1,20.9300,48.9600,0.000015
FILLER_14_29,VGND,li1,19.5500,48.9600,0.000016
FILLER_14_22,VGND,li1,15.8700,48.9600,0.000018
FILLER_13_133,VGND,li1,66.9300,48.9600,0.000031
FILLER_13_110,VGND,li1,56.5800,48.9600,0.000030
FILLER_13_107,VGND,li1,55.4300,48.9600,0.000029
FILLER_13_104,VGND,li1,54.0500,48.9600,0.000029
FILLER_13_93,VGND,li1,48.9900,48.9600,0.000028
FILLER_13_90,VGND,li1,47.6100,48.9600,0.000027
FILLER_13_60,VGND,li1,33.8100,48.9600,0.000020
FILLER_13_57,VGND,li1,32.4300,48.9600,0.000019
FILLER_13_55,VGND,li1,31.0500,48.9600,0.000019
FILLER_13_52,VGND,li1,30.1300,48.9600,0.000017
FILLER_13_49,VGND,li1,28.7500,48.9600,0.000017
FILLER_13_43,VGND,li1,25.5300,48.9600,0.000014
FILLER_13_40,VGND,li1,24.6100,48.9600,0.000014
FILLER_13_37,VGND,li1,23.2300,48.9600,0.000014
FILLER_13_34,VGND,li1,21.8500,48.9600,0.000015
FILLER_13_31,VGND,li1,20.4700,48.9600,0.000016
FILLER_13_28,VGND,li1,19.0900,48.9600,0.000016
FILLER_13_3,VGND,li1,7.5900,48.9600,0.000019
FILLER_12_133,VGND,li1,66.9300,43.5200,0.000060
FILLER_12_130,VGND,li1,66.0100,43.5200,0.000060
FILLER_12_127,VGND,li1,64.6300,43.5200,0.000060
FILLER_12_110,VGND,li1,56.3500,43.5200,0.000060
