Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_10_59,VGND,li1,33.3500,38.0800,0.000023
FILLER_10_56,VGND,li1,31.9700,38.0800,0.000021
FILLER_10_48,VGND,li1,28.2900,38.0800,0.000017
FILLER_10_45,VGND,li1,26.9100,38.0800,0.000017
FILLER_10_3,VGND,li1,7.1300,38.0800,0.000022
FILLER_9_113,VGND,li1,57.7300,38.0800,0.000035
FILLER_9_103,VGND,li1,53.1300,38.0800,0.000035
FILLER_9_87,VGND,li1,46.2300,38.0800,0.000031
FILLER_9_84,VGND,li1,44.8500,38.0800,0.000031
FILLER_9_63,VGND,li1,34.7300,38.0800,0.000023
FILLER_9_60,VGND,li1,33.8100,38.0800,0.000023
FILLER_9_57,VGND,li1,32.4300,38.0800,0.000021
FILLER_9_55,VGND,li1,31.0500,38.0800,0.000021
FILLER_9_52,VGND,li1,30.1300,38.0800,0.000019
FILLER_9_49,VGND,li1,28.7500,38.0800,0.000019
FILLER_9_46,VGND,li1,27.3700,38.0800,0.000017
FILLER_9_43,VGND,li1,25.9900,38.0800,0.000015
FILLER_9_40,VGND,li1,24.6100,38.0800,0.000017
FILLER_9_37,VGND,li1,23.2300,38.0800,0.000017
FILLER_9_28,VGND,li1,18.6300,38.0800,0.000019
FILLER_9_25,VGND,li1,17.7100,38.0800,0.000019
FILLER_9_22,VGND,li1,16.3300,38.0800,0.000020
FILLER_9_19,VGND,li1,14.9500,38.0800,0.000020
FILLER_8_105,VGND,li1,54.0500,32.6400,0.000018
FILLER_8_91,VGND,li1,47.8400,32.6400,0.000016
FILLER_8_88,VGND,li1,46.6900,32.6400,0.000016
FILLER_8_85,VGND,li1,45.3100,32.6400,0.000016
FILLER_8_83,VGND,li1,43.9300,32.6400,0.000015
FILLER_8_80,VGND,li1,43.0100,32.6400,0.000015
FILLER_8_65,VGND,li1,35.6500,32.6400,0.000013
FILLER_8_62,VGND,li1,34.7300,32.6400,0.000012
FILLER_8_50,VGND,li1,29.2100,32.6400,0.000010
FILLER_8_47,VGND,li1,27.8300,32.6400,0.000009
FILLER_8_44,VGND,li1,26.4500,32.6400,0.000009
FILLER_8_41,VGND,li1,25.0700,32.6400,0.000008
FILLER_8_38,VGND,li1,23.6900,32.6400,0.000008
FILLER_8_35,VGND,li1,22.3100,32.6400,0.000008
FILLER_8_32,VGND,li1,20.9300,32.6400,0.000008
FILLER_8_29,VGND,li1,19.5500,32.6400,0.000009
FILLER_8_25,VGND,li1,17.7100,32.6400,0.000010
